level,out
0,0.000
1,1.000
2,2.000
3,3.000
4,4.000
5,5.000
6,6.000
7,7.000
8,8.000
9,9.000
10,10.000
11,11.000
12,12.000
13,13.000
14,14.000
15,15.000
16,16.000
17,17.000
18,18.000
19,19.000
20,20.000
21,21.000
22,22.000
23,23.000
24,24.000
25,25.000
26,26.000
27,27.000
28,28.000
29,29.000
30,30.000
31,31.000
32,32.000
33,33.000
34,34.000
35,35.000
36,36.000
37,37.000
38,38.000
39,39.000
40,40.000
41,41.000
42,42.000
43,43.000
44,44.000
45,45.000
46,46.000
47,47.000
48,48.000
49,49.000
50,50.000
51,51.000
52,52.000
53,53.000
54,54.000
55,55.000
56,56.000
57,57.000
58,58.000
59,59.000
60,60.000
61,61.000
62,62.000
63,63.000
64,64.000
65,65.000
66,66.000
67,67.000
68,68.000
69,69.000
70,70.000
71,71.000
72,72.000
73,73.000
74,74.000
75,75.000
76,76.000
77,77.000
78,78.000
79,79.000
80,80.000
81,81.000
82,82.000
83,83.000
84,84.000
85,85.000
86,86.000
87,87.000
88,88.000
89,89.000
90,90.000
91,91.000
92,92.000
93,93.000
94,94.000
95,95.000
96,96.000
97,97.000
98,98.000
99,99.000
100,100.000
101,101.000
102,102.000
103,103.000
104,104.000
105,105.000
106,106.000
107,107.000
108,108.000
109,109.000
110,110.000
111,111.000
112,112.000
113,113.000
114,114.000
115,115.000
116,116.000
117,117.000
118,118.000
119,119.000
120,120.000
121,121.000
122,122.000
123,123.000
124,124.000
125,125.000
126,126.000
127,127.000
128,128.000
129,129.000
130,130.000
131,131.000
132,132.000
133,133.000
134,134.000
135,135.000
136,136.000
137,137.000
138,138.000
139,139.000
140,140.000
141,141.000
142,142.000
143,143.000
144,144.000
145,145.000
146,146.000
147,147.000
148,148.000
149,149.000
150,150.000
151,151.000
152,152.000
153,153.000
154,154.000
155,155.000
156,156.000
157,157.000
158,158.000
159,159.000
160,160.000
161,161.000
162,162.000
163,163.000
164,164.000
165,165.000
166,166.000
167,167.000
168,168.000
169,169.000
170,170.000
171,171.000
172,172.000
173,173.000
174,174.000
175,175.000
176,176.000
177,177.000
178,178.000
179,179.000
180,180.000
181,181.000
182,182.000
183,183.000
184,184.000
185,185.000
186,186.000
187,187.000
188,188.000
189,189.000
190,190.000
191,191.000
192,192.000
193,193.000
194,194.000
195,195.000
196,196.000
197,197.000
198,198.000
199,199.000
200,200.000
201,201.000
202,202.000
203,203.000
204,204.000
205,205.000
206,206.000
207,207.000
208,208.000
209,209.000
210,210.000
211,211.000
212,212.000
213,213.000
214,214.000
215,215.000
216,216.000
217,217.000
218,218.000
219,219.000
220,220.000
221,221.000
222,222.000
223,223.000
224,224.000
225,225.000
226,226.000
227,227.000
228,228.000
229,229.000
230,230.000
231,231.000
232,232.000
233,233.000
234,234.000
235,235.000
236,236.000
237,237.000
238,238.000
239,239.000
240,240.000
241,241.000
242,242.000
243,243.000
244,244.000
245,245.000
246,246.000
247,247.000
248,248.000
249,249.000
250,250.000
251,251.000
252,252.000
253,253.000
254,254.000
255,255.000
