level,out
0,0.000
1,3.000
2,7.000
3,11.000
4,15.000
5,19.000
6,23.000
7,27.000
8,31.000
9,35.000
10,39.000
11,42.641
12,46.035
13,50.000
14,54.000
15,57.410
16,61.000
17,64.648
18,68.035
19,71.547
20,74.953
21,78.176
22,81.480
23,84.660
24,87.762
25,90.777
26,93.734
27,96.594
28,99.367
29,102.066
30,104.762
31,107.285
32,109.797
33,112.215
34,114.559
35,116.746
36,119.051
37,121.203
38,123.250
39,125.250
40,127.199
41,128.637
42,130.500
43,132.160
44,133.625
45,135.324
46,136.684
47,138.180
48,139.492
49,140.715
50,141.898
51,143.062
52,144.152
53,145.145
54,146.094
55,146.930
56,147.785
57,148.629
58,149.367
59,150.168
60,150.832
61,151.598
62,152.289
63,152.871
64,153.629
65,154.406
66,155.094
67,155.801
68,156.664
69,157.500
70,158.500
71,159.539
72,160.648
73,161.699
74,162.633
75,163.570
76,164.496
77,165.465
78,166.297
79,167.250
80,168.148
81,168.750
82,169.551
83,170.348
84,171.004
85,171.621
86,172.531
87,173.328
88,173.984
89,174.645
90,175.215
91,175.617
92,176.020
93,176.410
94,176.699
95,177.059
96,177.383
97,177.629
98,177.938
99,178.254
100,178.430
101,178.641
102,179.062
103,179.449
104,179.945
105,180.477
106,180.750
107,181.242
108,181.566
109,181.992
110,182.477
111,183.035
112,183.605
113,184.207
114,184.746
115,185.250
116,185.812
117,186.461
118,186.953
119,187.273
120,187.750
121,188.121
122,188.551
123,189.250
124,189.715
125,190.293
126,190.645
127,191.047
128,191.449
129,191.766
130,192.012
131,192.199
132,192.336
133,192.348
134,192.449
135,192.617
136,192.930
137,193.211
138,193.371
139,193.406
140,193.453
141,193.578
142,193.660
143,193.848
144,194.137
145,194.371
146,194.691
147,195.023
148,195.461
149,195.957
150,196.375
151,196.715
152,197.000
153,197.395
154,197.750
155,198.121
156,198.500
157,199.000
158,199.250
159,199.648
160,200.000
161,200.273
162,200.742
163,201.000
164,201.266
165,201.453
166,201.676
167,202.055
168,202.367
169,202.684
170,203.066
171,203.316
172,203.473
173,203.703
174,203.926
175,204.012
176,204.184
177,204.285
178,204.348
179,204.496
180,204.863
181,205.113
182,205.402
183,205.695
184,206.000
185,206.262
186,206.738
187,206.961
188,207.211
189,207.480
190,207.969
191,208.219
192,208.812
193,209.043
194,209.742
195,210.000
196,210.355
197,210.750
198,211.000
199,211.586
200,212.000
201,212.535
202,213.000
203,213.355
204,213.891
205,214.184
206,214.770
207,215.059
208,215.469
209,215.879
210,216.199
211,216.773
212,217.129
213,217.746
214,218.113
215,218.754
216,219.168
217,219.840
218,220.281
219,220.988
220,221.680
221,222.137
222,223.000
223,223.910
224,224.570
225,225.113
226,226.000
227,227.000
228,228.000
229,229.000
230,230.000
231,231.000
232,231.852
233,232.492
234,233.078
235,234.000
236,235.000
237,236.000
238,237.000
239,238.000
240,239.000
241,240.000
242,241.000
243,242.000
244,243.000
245,244.000
246,245.000
247,246.000
248,247.000
249,248.000
250,249.000
251,250.000
252,252.000
253,253.000
254,254.000
255,255.000
