level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,1.000
18,1.000
19,1.000
20,1.000
21,1.000
22,1.000
23,1.000
24,2.000
25,2.000
26,2.000
27,2.000
28,2.000
29,2.000
30,3.000
31,3.000
32,3.000
33,3.000
34,4.000
35,4.000
36,4.000
37,4.000
38,5.000
39,5.000
40,5.000
41,5.000
42,6.000
43,6.000
44,6.000
45,7.000
46,7.000
47,7.000
48,8.000
49,8.000
50,8.000
51,9.000
52,9.000
53,9.000
54,10.000
55,10.000
56,11.000
57,11.000
58,11.000
59,12.000
60,12.000
61,13.000
62,13.000
63,14.000
64,14.000
65,15.000
66,15.000
67,15.000
68,16.000
69,16.000
70,17.000
71,17.000
72,18.000
73,18.000
74,19.000
75,19.000
76,20.000
77,21.000
78,21.000
79,22.000
80,22.000
81,23.000
82,23.000
83,24.000
84,25.000
85,25.000
86,26.000
87,26.000
88,27.000
89,28.000
90,28.000
91,29.000
92,30.000
93,30.000
94,31.000
95,32.000
96,32.000
97,33.000
98,34.000
99,34.000
100,35.000
101,36.000
102,36.000
103,37.000
104,38.000
105,39.000
106,39.000
107,40.000
108,41.000
109,42.000
110,42.000
111,43.000
112,44.000
113,45.000
114,46.000
115,46.000
116,47.000
117,48.000
118,49.000
119,50.000
120,51.000
121,52.000
122,52.000
123,53.000
124,54.000
125,55.000
126,56.000
127,57.000
128,58.000
129,59.000
130,60.000
131,60.000
132,61.000
133,62.000
134,63.000
135,64.000
136,65.000
137,66.000
138,67.000
139,68.000
140,69.000
141,70.000
142,71.000
143,72.000
144,73.000
145,74.000
146,75.000
147,76.000
148,77.000
149,78.000
150,79.000
151,81.000
152,82.000
153,83.000
154,84.000
155,85.000
156,86.000
157,87.000
158,88.000
159,89.000
160,90.000
161,92.000
162,93.000
163,94.000
164,95.000
165,96.000
166,97.000
167,99.000
168,100.000
169,101.000
170,102.000
171,103.000
172,105.000
173,106.000
174,107.000
175,108.000
176,110.000
177,111.000
178,112.000
179,113.000
180,115.000
181,116.000
182,117.000
183,118.000
184,120.000
185,121.000
186,122.000
187,124.000
188,125.000
189,126.000
190,128.000
191,129.000
192,130.000
193,132.000
194,133.000
195,134.000
196,136.000
197,137.000
198,139.000
199,140.000
200,141.000
201,143.000
202,144.000
203,146.000
204,147.000
205,149.000
206,150.000
207,152.000
208,153.000
209,154.000
210,156.000
211,157.000
212,159.000
213,161.000
214,162.000
215,164.000
216,165.000
217,167.000
218,168.000
219,170.000
220,171.000
221,173.000
222,174.000
223,176.000
224,178.000
225,179.000
226,181.000
227,182.000
228,184.000
229,186.000
230,187.000
231,189.000
232,191.000
233,192.000
234,194.000
235,196.000
236,197.000
237,199.000
238,201.000
239,202.000
240,204.000
241,206.000
242,207.000
243,209.000
244,211.000
245,213.000
246,214.000
247,216.000
248,218.000
249,220.000
250,221.000
251,223.000
252,225.000
253,227.000
254,229.000
255,230.000
