level,out
0,0.000
1,15.000
2,22.000
3,27.000
4,32.000
5,35.000
6,39.000
7,42.000
8,45.000
9,48.000
10,50.000
11,53.000
12,55.000
13,57.000
14,59.000
15,62.000
16,64.000
17,66.000
18,67.000
19,69.000
20,71.000
21,73.000
22,75.000
23,76.000
24,78.000
25,80.000
26,81.000
27,83.000
28,84.000
29,86.000
30,87.000
31,89.000
32,90.000
33,92.000
34,93.000
35,94.000
36,96.000
37,97.000
38,98.000
39,100.000
40,101.000
41,102.000
42,103.000
43,105.000
44,106.000
45,107.000
46,108.000
47,109.000
48,111.000
49,112.000
50,113.000
51,114.000
52,115.000
53,116.000
54,117.000
55,118.000
56,119.000
57,120.000
58,122.000
59,123.000
60,124.000
61,125.000
62,126.000
63,127.000
64,128.000
65,129.000
66,130.000
67,131.000
68,132.000
69,133.000
70,133.000
71,134.000
72,135.000
73,136.000
74,137.000
75,138.000
76,139.000
77,140.000
78,141.000
79,142.000
80,143.000
81,144.000
82,144.000
83,145.000
84,146.000
85,147.000
86,148.000
87,149.000
88,150.000
89,151.000
90,151.000
91,152.000
92,153.000
93,154.000
94,155.000
95,156.000
96,156.000
97,157.000
98,158.000
99,159.000
100,160.000
101,160.000
102,161.000
103,162.000
104,163.000
105,164.000
106,164.000
107,165.000
108,166.000
109,167.000
110,167.000
111,168.000
112,169.000
113,170.000
114,170.000
115,171.000
116,172.000
117,173.000
118,173.000
119,174.000
120,175.000
121,176.000
122,176.000
123,177.000
124,178.000
125,179.000
126,179.000
127,180.000
128,181.000
129,181.000
130,182.000
131,183.000
132,183.000
133,184.000
134,185.000
135,186.000
136,186.000
137,187.000
138,188.000
139,188.000
140,189.000
141,190.000
142,190.000
143,191.000
144,192.000
145,192.000
146,193.000
147,194.000
148,194.000
149,195.000
150,196.000
151,196.000
152,197.000
153,198.000
154,198.000
155,199.000
156,200.000
157,200.000
158,201.000
159,201.000
160,202.000
161,203.000
162,203.000
163,204.000
164,205.000
165,205.000
166,206.000
167,206.000
168,207.000
169,208.000
170,208.000
171,209.000
172,210.000
173,210.000
174,211.000
175,211.000
176,212.000
177,213.000
178,213.000
179,214.000
180,214.000
181,215.000
182,216.000
183,216.000
184,217.000
185,217.000
186,218.000
187,218.000
188,219.000
189,220.000
190,220.000
191,221.000
192,221.000
193,222.000
194,223.000
195,223.000
196,224.000
197,224.000
198,225.000
199,226.000
200,226.000
201,227.000
202,227.000
203,228.000
204,228.000
205,229.000
206,229.000
207,230.000
208,231.000
209,231.000
210,232.000
211,232.000
212,233.000
213,233.000
214,234.000
215,234.000
216,235.000
217,235.000
218,236.000
219,237.000
220,237.000
221,238.000
222,238.000
223,239.000
224,239.000
225,240.000
226,240.000
227,241.000
228,241.000
229,242.000
230,242.000
231,243.000
232,243.000
233,244.000
234,245.000
235,245.000
236,246.000
237,246.000
238,247.000
239,247.000
240,248.000
241,248.000
242,249.000
243,249.000
244,250.000
245,250.000
246,251.000
247,251.000
248,252.000
249,252.000
250,253.000
251,253.000
252,254.000
253,254.000
254,255.000
255,255.000
