level,out
0,0.000
1,7.000
2,11.000
3,14.000
4,17.000
5,19.000
6,21.000
7,23.000
8,25.000
9,27.000
10,29.000
11,31.000
12,32.000
13,34.000
14,35.000
15,37.000
16,38.000
17,39.000
18,41.000
19,42.000
20,43.000
21,45.000
22,46.000
23,47.000
24,48.000
25,49.000
26,51.000
27,52.000
28,53.000
29,54.000
30,55.000
31,56.000
32,57.000
33,58.000
34,59.000
35,60.000
36,61.000
37,62.000
38,63.000
39,64.000
40,65.000
41,66.000
42,67.000
43,68.000
44,69.000
45,70.000
46,71.000
47,71.000
48,72.000
49,73.000
50,74.000
51,75.000
52,76.000
53,77.000
54,77.000
55,78.000
56,79.000
57,80.000
58,81.000
59,82.000
60,82.000
61,83.000
62,84.000
63,85.000
64,85.000
65,86.000
66,87.000
67,88.000
68,89.000
69,89.000
70,90.000
71,91.000
72,91.000
73,92.000
74,93.000
75,94.000
76,94.000
77,95.000
78,96.000
79,97.000
80,97.000
81,98.000
82,99.000
83,99.000
84,100.000
85,101.000
86,101.000
87,102.000
88,103.000
89,103.000
90,104.000
91,105.000
92,105.000
93,106.000
94,107.000
95,107.000
96,108.000
97,109.000
98,109.000
99,110.000
100,111.000
101,111.000
102,112.000
103,113.000
104,113.000
105,114.000
106,115.000
107,115.000
108,116.000
109,116.000
110,117.000
111,118.000
112,118.000
113,119.000
114,119.000
115,120.000
116,121.000
117,121.000
118,122.000
119,122.000
120,123.000
121,124.000
122,124.000
123,125.000
124,125.000
125,126.000
126,127.000
127,127.000
128,128.000
129,128.000
130,129.000
131,129.000
132,130.000
133,131.000
134,131.000
135,132.000
136,132.000
137,133.000
138,134.000
139,134.000
140,135.000
141,135.000
142,136.000
143,137.000
144,137.000
145,138.000
146,138.000
147,139.000
148,140.000
149,140.000
150,141.000
151,142.000
152,142.000
153,143.000
154,143.000
155,144.000
156,145.000
157,145.000
158,146.000
159,147.000
160,147.000
161,148.000
162,149.000
163,149.000
164,150.000
165,151.000
166,151.000
167,152.000
168,153.000
169,153.000
170,154.000
171,155.000
172,155.000
173,156.000
174,157.000
175,157.000
176,158.000
177,159.000
178,160.000
179,160.000
180,161.000
181,162.000
182,163.000
183,163.000
184,164.000
185,165.000
186,166.000
187,166.000
188,167.000
189,168.000
190,169.000
191,169.000
192,170.000
193,171.000
194,172.000
195,172.000
196,173.000
197,174.000
198,175.000
199,176.000
200,177.000
201,177.000
202,178.000
203,179.000
204,180.000
205,181.000
206,182.000
207,182.000
208,183.000
209,184.000
210,185.000
211,186.000
212,187.000
213,188.000
214,189.000
215,190.000
216,191.000
217,192.000
218,193.000
219,194.000
220,195.000
221,196.000
222,197.000
223,198.000
224,199.000
225,200.000
226,201.000
227,202.000
228,203.000
229,204.000
230,205.000
231,207.000
232,208.000
233,209.000
234,210.000
235,211.000
236,213.000
237,214.000
238,215.000
239,217.000
240,218.000
241,220.000
242,221.000
243,223.000
244,224.000
245,226.000
246,228.000
247,229.000
248,231.000
249,233.000
250,236.000
251,238.000
252,241.000
253,244.000
254,248.000
255,255.000
