level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,1.000
12,1.000
13,1.000
14,1.000
15,2.000
16,2.000
17,2.000
18,3.000
19,3.000
20,3.000
21,4.000
22,4.000
23,4.000
24,5.000
25,5.000
26,6.000
27,6.000
28,7.000
29,7.000
30,8.000
31,8.000
32,9.000
33,9.000
34,10.000
35,10.000
36,11.000
37,11.000
38,12.000
39,13.000
40,13.000
41,14.000
42,15.000
43,15.000
44,16.000
45,17.000
46,18.000
47,18.000
48,19.000
49,20.000
50,21.000
51,22.000
52,22.000
53,23.000
54,24.000
55,25.000
56,26.000
57,27.000
58,28.000
59,29.000
60,30.000
61,31.000
62,32.000
63,33.000
64,34.000
65,35.000
66,36.000
67,37.000
68,38.000
69,39.000
70,40.000
71,41.000
72,42.000
73,43.000
74,45.000
75,46.000
76,47.000
77,48.000
78,49.000
79,51.000
80,52.000
81,53.000
82,54.000
83,56.000
84,57.000
85,58.000
86,60.000
87,61.000
88,62.000
89,64.000
90,65.000
91,67.000
92,68.000
93,69.000
94,71.000
95,72.000
96,74.000
97,75.000
98,77.000
99,78.000
100,80.000
101,81.000
102,83.000
103,85.000
104,86.000
105,88.000
106,89.000
107,91.000
108,93.000
109,94.000
110,96.000
111,98.000
112,99.000
113,101.000
114,103.000
115,105.000
116,106.000
117,108.000
118,110.000
119,112.000
120,113.000
121,115.000
122,117.000
123,119.000
124,121.000
125,123.000
126,125.000
127,126.000
128,128.000
129,130.000
130,132.000
131,134.000
132,136.000
133,138.000
134,140.000
135,141.000
136,143.000
137,145.000
138,147.000
139,148.000
140,150.000
141,152.000
142,154.000
143,155.000
144,157.000
145,159.000
146,161.000
147,162.000
148,164.000
149,165.000
150,167.000
151,169.000
152,170.000
153,172.000
154,173.000
155,175.000
156,176.000
157,178.000
158,179.000
159,181.000
160,182.000
161,184.000
162,185.000
163,187.000
164,188.000
165,190.000
166,191.000
167,192.000
168,194.000
169,195.000
170,196.000
171,198.000
172,199.000
173,200.000
174,202.000
175,203.000
176,204.000
177,205.000
178,207.000
179,208.000
180,209.000
181,210.000
182,211.000
183,212.000
184,214.000
185,215.000
186,216.000
187,217.000
188,218.000
189,219.000
190,220.000
191,221.000
192,222.000
193,223.000
194,224.000
195,225.000
196,226.000
197,227.000
198,228.000
199,229.000
200,230.000
201,231.000
202,232.000
203,232.000
204,233.000
205,234.000
206,235.000
207,236.000
208,236.000
209,237.000
210,238.000
211,239.000
212,239.000
213,240.000
214,241.000
215,241.000
216,242.000
217,243.000
218,243.000
219,244.000
220,245.000
221,245.000
222,246.000
223,246.000
224,247.000
225,247.000
226,248.000
227,248.000
228,249.000
229,249.000
230,250.000
231,250.000
232,250.000
233,251.000
234,251.000
235,252.000
236,252.000
237,252.000
238,253.000
239,253.000
240,253.000
241,253.000
242,254.000
243,254.000
244,254.000
245,254.000
246,254.000
247,255.000
248,255.000
249,255.000
250,255.000
251,255.000
252,255.000
253,255.000
254,255.000
255,255.000
