level,out
0,0.000
1,3.000
2,5.750
3,8.000
4,10.000
5,12.000
6,14.000
7,16.000
8,17.750
9,19.500
10,21.312
11,23.051
12,24.840
13,26.500
14,28.250
15,30.000
16,31.578
17,33.133
18,34.750
19,36.227
20,37.727
21,39.066
22,40.500
23,42.000
24,43.250
25,44.750
26,46.227
27,47.738
28,49.000
29,50.250
30,51.750
31,53.000
32,54.250
33,55.500
34,56.750
35,58.000
36,59.250
37,60.500
38,61.750
39,63.000
40,64.000
41,65.250
42,66.500
43,67.500
44,68.750
45,69.750
46,71.000
47,72.000
48,73.066
49,74.211
50,75.250
51,76.250
52,77.250
53,78.195
54,79.250
55,80.250
56,81.250
57,82.148
58,83.121
59,84.086
60,85.000
61,86.000
62,87.000
63,88.000
64,89.000
65,90.000
66,91.000
67,92.000
68,93.000
69,93.750
70,94.750
71,95.750
72,96.750
73,97.750
74,98.750
75,99.750
76,100.750
77,101.750
78,102.750
79,103.750
80,104.750
81,105.750
82,106.500
83,107.500
84,108.250
85,109.250
86,110.000
87,111.000
88,112.000
89,113.000
90,113.848
91,114.750
92,115.500
93,116.500
94,117.344
95,118.250
96,119.250
97,120.078
98,121.000
99,122.000
100,123.000
101,123.750
102,124.539
103,125.297
104,126.172
105,127.000
106,127.750
107,128.500
108,129.250
109,130.199
110,131.000
111,132.000
112,133.000
113,134.000
114,135.000
115,136.000
116,137.000
117,137.750
118,138.750
119,139.500
120,140.250
121,141.000
122,142.000
123,142.840
124,143.750
125,144.500
126,145.250
127,146.000
128,147.000
129,148.000
130,148.762
131,149.613
132,150.500
133,151.188
134,152.000
135,152.750
136,153.500
137,154.250
138,155.000
139,155.750
140,156.500
141,157.402
142,158.250
143,159.000
144,160.000
145,161.000
146,162.000
147,163.000
148,163.750
149,164.500
150,165.250
151,166.000
152,166.750
153,167.500
154,168.250
155,169.000
156,170.000
157,171.000
158,171.750
159,172.500
160,173.293
161,174.160
162,175.000
163,176.000
164,177.000
165,177.750
166,178.500
167,179.055
168,180.000
169,180.750
170,181.500
171,182.250
172,183.000
173,184.000
174,185.000
175,185.750
176,186.301
177,187.000
178,188.000
179,189.000
180,190.000
181,190.699
182,191.500
183,192.430
184,193.250
185,194.000
186,195.000
187,195.750
188,196.250
189,197.000
190,198.000
191,198.504
192,199.250
193,200.016
194,201.000
195,202.000
196,203.000
197,203.750
198,204.500
199,205.500
200,206.250
201,207.000
202,208.000
203,208.750
204,209.500
205,210.250
206,211.000
207,212.000
208,212.648
209,213.258
210,214.000
211,215.000
212,216.000
213,216.750
214,217.504
215,218.344
216,219.250
217,220.000
218,221.000
219,222.000
220,222.750
221,223.500
222,224.363
223,225.000
224,226.000
225,227.000
226,228.000
227,228.844
228,229.727
229,230.500
230,231.250
231,232.000
232,233.000
233,234.000
234,235.000
235,235.750
236,236.750
237,237.379
238,238.250
239,239.000
240,240.000
241,241.000
242,242.000
243,243.000
244,243.750
245,244.750
246,245.750
247,246.500
248,247.500
249,248.258
250,249.402
251,250.500
252,251.750
253,253.000
254,254.000
255,255.000
