level,out
0,0.000
1,1.000
2,2.000
3,3.000
4,4.000
5,5.000
6,6.000
7,7.000
8,8.000
9,9.000
10,10.000
11,11.000
12,12.000
13,13.000
14,14.000
15,15.000
16,16.000
17,17.000
18,18.000
19,19.000
20,20.000
21,21.000
22,22.000
23,23.000
24,24.000
25,25.000
26,26.000
27,27.000
28,28.000
29,29.000
30,30.000
31,31.000
32,32.000
33,33.000
34,34.000
35,35.000
36,36.000
37,37.000
38,38.000
39,39.000
40,40.000
41,41.000
42,42.000
43,43.000
44,44.000
45,45.000
46,46.000
47,47.000
48,48.000
49,49.000
50,50.000
51,51.000
52,52.000
53,53.000
54,54.000
55,55.000
56,56.000
57,57.000
58,58.000
59,59.000
60,60.000
61,61.000
62,62.000
63,63.000
64,64.000
65,65.000
66,66.000
67,67.000
68,68.000
69,69.000
70,70.000
71,71.000
72,72.000
73,73.000
74,74.000
75,75.000
76,76.000
77,77.000
78,78.000
79,79.000
80,80.000
81,81.000
82,82.000
83,83.000
84,84.000
85,85.000
86,86.000
87,87.000
88,88.000
89,89.000
90,90.000
91,91.000
92,92.000
93,93.000
94,94.000
95,96.000
96,97.000
97,98.000
98,99.000
99,100.000
100,101.000
101,102.000
102,103.000
103,104.000
104,105.000
105,106.000
106,107.000
107,108.000
108,109.000
109,110.000
110,111.000
111,113.000
112,114.000
113,115.000
114,116.000
115,117.000
116,118.000
117,119.000
118,120.000
119,121.000
120,123.000
121,124.000
122,125.000
123,126.000
124,127.000
125,128.000
126,129.000
127,130.000
128,132.000
129,133.000
130,134.000
131,135.000
132,136.000
133,137.000
134,139.000
135,140.000
136,141.000
137,142.000
138,143.000
139,145.000
140,146.000
141,147.000
142,148.000
143,150.000
144,151.000
145,152.000
146,153.000
147,155.000
148,156.000
149,157.000
150,158.000
151,160.000
152,161.000
153,162.000
154,163.000
155,165.000
156,166.000
157,167.000
158,169.000
159,170.000
160,171.000
161,173.000
162,174.000
163,175.000
164,176.000
165,178.000
166,179.000
167,180.000
168,182.000
169,183.000
170,184.000
171,186.000
172,187.000
173,188.000
174,189.000
175,191.000
176,192.000
177,193.000
178,194.000
179,196.000
180,197.000
181,198.000
182,199.000
183,200.000
184,202.000
185,203.000
186,204.000
187,205.000
188,206.000
189,208.000
190,209.000
191,210.000
192,211.000
193,212.000
194,213.000
195,214.000
196,215.000
197,216.000
198,218.000
199,219.000
200,220.000
201,221.000
202,222.000
203,222.000
204,223.000
205,224.000
206,225.000
207,226.000
208,227.000
209,228.000
210,229.000
211,230.000
212,230.000
213,231.000
214,232.000
215,233.000
216,234.000
217,234.000
218,235.000
219,236.000
220,237.000
221,237.000
222,238.000
223,239.000
224,239.000
225,240.000
226,241.000
227,241.000
228,242.000
229,243.000
230,243.000
231,244.000
232,244.000
233,245.000
234,245.000
235,246.000
236,246.000
237,247.000
238,247.000
239,248.000
240,248.000
241,249.000
242,249.000
243,250.000
244,250.000
245,251.000
246,251.000
247,252.000
248,252.000
249,253.000
250,253.000
251,254.000
252,254.000
253,254.000
254,255.000
255,255.000
