level,out
0,0.000
1,4.000
2,7.000
3,9.000
4,12.000
5,14.000
6,16.000
7,18.000
8,20.000
9,22.000
10,24.000
11,26.000
12,28.000
13,30.000
14,32.000
15,34.000
16,35.000
17,37.000
18,39.000
19,41.000
20,43.000
21,44.000
22,46.000
23,48.000
24,49.000
25,51.000
26,53.000
27,54.000
28,56.000
29,58.000
30,59.000
31,61.000
32,62.000
33,64.000
34,65.000
35,67.000
36,69.000
37,70.000
38,72.000
39,73.000
40,75.000
41,76.000
42,78.000
43,79.000
44,81.000
45,82.000
46,83.000
47,85.000
48,86.000
49,88.000
50,89.000
51,91.000
52,92.000
53,93.000
54,95.000
55,96.000
56,97.000
57,99.000
58,100.000
59,101.000
60,103.000
61,104.000
62,105.000
63,107.000
64,108.000
65,109.000
66,110.000
67,112.000
68,113.000
69,114.000
70,115.000
71,116.000
72,118.000
73,119.000
74,120.000
75,121.000
76,122.000
77,124.000
78,125.000
79,126.000
80,127.000
81,128.000
82,129.000
83,130.000
84,131.000
85,132.000
86,133.000
87,134.000
88,136.000
89,137.000
90,138.000
91,139.000
92,140.000
93,141.000
94,142.000
95,143.000
96,144.000
97,145.000
98,146.000
99,147.000
100,148.000
101,149.000
102,150.000
103,150.000
104,151.000
105,152.000
106,153.000
107,154.000
108,155.000
109,156.000
110,157.000
111,158.000
112,159.000
113,159.000
114,160.000
115,161.000
116,162.000
117,163.000
118,164.000
119,164.000
120,165.000
121,166.000
122,167.000
123,168.000
124,169.000
125,169.000
126,170.000
127,171.000
128,172.000
129,172.000
130,173.000
131,174.000
132,175.000
133,175.000
134,176.000
135,177.000
136,178.000
137,178.000
138,179.000
139,180.000
140,181.000
141,181.000
142,182.000
143,183.000
144,183.000
145,184.000
146,185.000
147,185.000
148,186.000
149,187.000
150,187.000
151,188.000
152,189.000
153,189.000
154,190.000
155,191.000
156,191.000
157,192.000
158,193.000
159,193.000
160,194.000
161,195.000
162,195.000
163,196.000
164,197.000
165,197.000
166,198.000
167,199.000
168,199.000
169,200.000
170,200.000
171,201.000
172,202.000
173,202.000
174,203.000
175,203.000
176,204.000
177,205.000
178,205.000
179,206.000
180,207.000
181,207.000
182,208.000
183,208.000
184,209.000
185,210.000
186,210.000
187,211.000
188,211.000
189,212.000
190,213.000
191,213.000
192,214.000
193,214.000
194,215.000
195,216.000
196,216.000
197,217.000
198,218.000
199,218.000
200,219.000
201,219.000
202,220.000
203,221.000
204,221.000
205,222.000
206,222.000
207,223.000
208,224.000
209,224.000
210,225.000
211,225.000
212,226.000
213,227.000
214,227.000
215,228.000
216,229.000
217,229.000
218,230.000
219,231.000
220,231.000
221,232.000
222,232.000
223,233.000
224,234.000
225,234.000
226,235.000
227,236.000
228,236.000
229,237.000
230,238.000
231,238.000
232,239.000
233,240.000
234,240.000
235,241.000
236,242.000
237,242.000
238,243.000
239,244.000
240,245.000
241,245.000
242,246.000
243,247.000
244,247.000
245,248.000
246,249.000
247,249.000
248,250.000
249,251.000
250,252.000
251,252.000
252,253.000
253,254.000
254,255.000
255,255.000
