level,out
0,0.000
1,10.000
2,15.000
3,19.000
4,23.000
5,26.000
6,29.000
7,32.000
8,34.000
9,36.000
10,39.000
11,41.000
12,43.000
13,44.000
14,46.000
15,48.000
16,50.000
17,51.000
18,53.000
19,54.000
20,55.000
21,57.000
22,58.000
23,59.000
24,60.000
25,62.000
26,63.000
27,64.000
28,65.000
29,66.000
30,67.000
31,68.000
32,68.000
33,69.000
34,70.000
35,71.000
36,72.000
37,72.000
38,73.000
39,74.000
40,75.000
41,75.000
42,76.000
43,77.000
44,77.000
45,78.000
46,78.000
47,79.000
48,80.000
49,80.000
50,81.000
51,81.000
52,82.000
53,82.000
54,83.000
55,83.000
56,84.000
57,84.000
58,85.000
59,85.000
60,86.000
61,86.000
62,87.000
63,87.000
64,88.000
65,88.000
66,89.000
67,89.000
68,90.000
69,90.000
70,91.000
71,91.000
72,92.000
73,92.000
74,93.000
75,93.000
76,94.000
77,94.000
78,95.000
79,95.000
80,96.000
81,96.000
82,97.000
83,97.000
84,98.000
85,99.000
86,99.000
87,100.000
88,100.000
89,101.000
90,102.000
91,102.000
92,103.000
93,103.000
94,104.000
95,105.000
96,105.000
97,106.000
98,107.000
99,107.000
100,108.000
101,109.000
102,109.000
103,110.000
104,111.000
105,112.000
106,112.000
107,113.000
108,114.000
109,115.000
110,115.000
111,116.000
112,117.000
113,118.000
114,119.000
115,119.000
116,120.000
117,121.000
118,122.000
119,123.000
120,123.000
121,124.000
122,125.000
123,126.000
124,127.000
125,128.000
126,128.000
127,129.000
128,130.000
129,131.000
130,132.000
131,133.000
132,134.000
133,135.000
134,136.000
135,137.000
136,137.000
137,138.000
138,139.000
139,140.000
140,141.000
141,142.000
142,143.000
143,144.000
144,145.000
145,146.000
146,147.000
147,148.000
148,149.000
149,150.000
150,151.000
151,152.000
152,152.000
153,153.000
154,154.000
155,155.000
156,156.000
157,157.000
158,158.000
159,159.000
160,160.000
161,161.000
162,162.000
163,163.000
164,164.000
165,165.000
166,166.000
167,167.000
168,168.000
169,169.000
170,170.000
171,171.000
172,172.000
173,173.000
174,174.000
175,175.000
176,176.000
177,177.000
178,178.000
179,179.000
180,180.000
181,181.000
182,182.000
183,183.000
184,184.000
185,185.000
186,186.000
187,187.000
188,188.000
189,189.000
190,190.000
191,191.000
192,192.000
193,193.000
194,194.000
195,195.000
196,196.000
197,197.000
198,198.000
199,199.000
200,200.000
201,201.000
202,202.000
203,203.000
204,204.000
205,205.000
206,206.000
207,207.000
208,208.000
209,209.000
210,210.000
211,211.000
212,212.000
213,213.000
214,214.000
215,215.000
216,216.000
217,217.000
218,218.000
219,219.000
220,220.000
221,221.000
222,222.000
223,223.000
224,224.000
225,225.000
226,226.000
227,227.000
228,228.000
229,229.000
230,230.000
231,231.000
232,232.000
233,233.000
234,234.000
235,235.000
236,236.000
237,237.000
238,238.000
239,239.000
240,240.000
241,241.000
242,242.000
243,243.000
244,244.000
245,245.000
246,246.000
247,247.000
248,248.000
249,249.000
250,250.000
251,251.000
252,252.000
253,253.000
254,254.000
255,255.000
