level,out
0,1.035
1,1.539
2,2.418
3,3.211
4,3.891
5,4.688
6,5.453
7,6.051
8,6.836
9,7.645
10,8.289
11,9.176
12,9.773
13,10.566
14,11.367
15,12.219
16,12.965
17,13.668
18,14.691
19,15.082
20,16.363
21,16.652
22,17.703
23,18.641
24,19.262
25,20.656
26,21.340
27,22.305
28,23.031
29,24.422
30,24.730
31,25.395
32,27.109
33,27.848
34,28.266
35,29.656
36,30.352
37,30.891
38,32.555
39,32.809
40,34.613
41,35.215
42,36.230
43,36.359
44,38.410
45,38.602
46,40.496
47,42.160
48,41.344
49,42.387
50,44.609
51,44.688
52,45.309
53,47.527
54,48.121
55,50.527
56,50.520
57,51.254
58,51.293
59,52.285
60,54.020
61,54.824
62,57.160
63,58.223
64,60.480
65,61.445
66,63.082
67,64.277
68,66.793
69,68.016
70,68.980
71,72.820
72,73.129
73,74.871
74,76.871
75,78.805
76,82.125
77,84.129
78,86.473
79,88.551
80,90.637
81,93.789
82,95.668
83,97.660
84,99.930
85,102.230
86,105.469
87,107.551
88,108.664
89,111.328
90,113.191
91,115.488
92,117.613
93,119.465
94,122.238
95,121.559
96,123.957
97,127.520
98,128.383
99,130.559
100,133.648
101,133.379
102,135.359
103,138.281
104,139.504
105,140.809
106,143.059
107,143.809
108,146.227
109,147.395
110,148.465
111,150.414
112,152.324
113,153.449
114,154.980
115,155.570
116,158.047
117,159.164
118,162.039
119,161.867
120,161.203
121,164.781
122,165.348
123,168.227
124,168.875
125,169.223
126,170.859
127,174.621
128,173.918
129,174.949
130,177.504
131,178.441
132,180.684
133,180.504
134,182.254
135,183.816
136,184.801
137,186.434
138,186.262
139,187.750
140,189.246
141,191.250
142,191.738
143,193.055
144,195.023
145,196.848
146,198.223
147,198.605
148,199.570
149,199.645
150,201.598
151,203.449
152,204.473
153,205.199
154,205.902
155,207.266
156,208.941
157,209.547
158,210.359
159,211.395
160,212.117
161,214.637
162,214.887
163,214.738
164,216.629
165,216.199
166,218.418
167,218.359
168,219.516
169,220.637
170,220.996
171,222.238
172,223.023
173,223.805
174,224.250
175,223.746
176,225.660
177,226.371
178,226.730
179,227.684
180,228.094
181,228.812
182,229.285
183,229.926
184,230.523
185,230.992
186,232.363
187,232.066
188,232.680
189,233.844
190,233.922
191,233.797
192,234.852
193,236.441
194,236.402
195,236.773
196,237.062
197,238.008
198,238.309
199,238.969
200,239.027
201,239.906
202,240.086
203,240.664
204,241.141
205,241.512
206,242.215
207,242.410
208,243.160
209,243.312
210,243.633
211,244.246
212,244.496
213,244.902
214,245.270
215,245.691
216,245.891
217,246.289
218,246.770
219,247.004
220,247.168
221,247.574
222,247.832
223,247.918
224,248.309
225,248.336
226,248.754
227,248.879
228,249.156
229,249.258
230,249.523
231,249.520
232,249.648
233,249.891
234,250.031
235,250.215
236,250.195
237,250.250
238,250.316
239,250.520
240,250.441
241,250.684
242,250.656
243,250.746
244,250.699
245,250.719
246,250.766
247,250.754
248,250.742
249,250.809
250,250.934
251,250.918
252,250.949
253,250.922
254,250.992
255,251.023
