level,out
0,0.000
1,0.000
2,1.000
3,2.000
4,3.000
5,4.000
6,5.000
7,5.000
8,6.000
9,7.000
10,8.000
11,9.000
12,10.000
13,10.000
14,11.000
15,12.000
16,13.000
17,14.000
18,15.000
19,15.000
20,16.000
21,17.000
22,18.000
23,19.000
24,20.000
25,21.000
26,21.000
27,22.000
28,23.000
29,24.000
30,25.000
31,26.000
32,27.000
33,27.000
34,28.000
35,29.000
36,30.000
37,31.000
38,32.000
39,33.000
40,34.000
41,34.000
42,35.000
43,36.000
44,37.000
45,38.000
46,39.000
47,40.000
48,41.000
49,42.000
50,43.000
51,44.000
52,44.000
53,45.000
54,46.000
55,47.000
56,48.000
57,49.000
58,50.000
59,51.000
60,52.000
61,53.000
62,54.000
63,55.000
64,56.000
65,57.000
66,58.000
67,59.000
68,60.000
69,61.000
70,62.000
71,63.000
72,64.000
73,65.000
74,66.000
75,67.000
76,68.000
77,69.000
78,70.000
79,71.000
80,72.000
81,73.000
82,74.000
83,75.000
84,76.000
85,77.000
86,78.000
87,79.000
88,80.000
89,81.000
90,83.000
91,84.000
92,85.000
93,86.000
94,87.000
95,88.000
96,89.000
97,90.000
98,91.000
99,92.000
100,94.000
101,95.000
102,96.000
103,97.000
104,98.000
105,99.000
106,100.000
107,101.000
108,102.000
109,104.000
110,105.000
111,106.000
112,107.000
113,108.000
114,109.000
115,110.000
116,111.000
117,113.000
118,114.000
119,115.000
120,116.000
121,117.000
122,118.000
123,119.000
124,121.000
125,122.000
126,123.000
127,124.000
128,125.000
129,126.000
130,127.000
131,128.000
132,130.000
133,131.000
134,132.000
135,133.000
136,134.000
137,135.000
138,136.000
139,138.000
140,139.000
141,140.000
142,141.000
143,142.000
144,143.000
145,144.000
146,146.000
147,147.000
148,148.000
149,149.000
150,150.000
151,151.000
152,152.000
153,154.000
154,155.000
155,156.000
156,157.000
157,158.000
158,159.000
159,160.000
160,161.000
161,163.000
162,164.000
163,165.000
164,166.000
165,167.000
166,168.000
167,169.000
168,170.000
169,171.000
170,172.000
171,174.000
172,175.000
173,176.000
174,177.000
175,178.000
176,179.000
177,180.000
178,181.000
179,182.000
180,183.000
181,184.000
182,185.000
183,186.000
184,187.000
185,188.000
186,189.000
187,191.000
188,192.000
189,193.000
190,194.000
191,195.000
192,196.000
193,197.000
194,198.000
195,199.000
196,200.000
197,201.000
198,202.000
199,203.000
200,204.000
201,205.000
202,206.000
203,207.000
204,208.000
205,209.000
206,210.000
207,211.000
208,212.000
209,212.000
210,213.000
211,214.000
212,215.000
213,216.000
214,217.000
215,218.000
216,219.000
217,220.000
218,221.000
219,222.000
220,223.000
221,224.000
222,225.000
223,226.000
224,227.000
225,228.000
226,229.000
227,230.000
228,231.000
229,231.000
230,232.000
231,233.000
232,234.000
233,235.000
234,236.000
235,237.000
236,238.000
237,239.000
238,240.000
239,241.000
240,242.000
241,243.000
242,243.000
243,244.000
244,245.000
245,246.000
246,247.000
247,248.000
248,249.000
249,250.000
250,251.000
251,252.000
252,253.000
253,254.000
254,254.000
255,255.000
