level,out
0,0.000
1,0.000
2,0.000
3,1.000
4,1.000
5,2.000
6,2.000
7,3.000
8,3.000
9,4.000
10,4.000
11,5.000
12,6.000
13,6.000
14,7.000
15,7.000
16,8.000
17,8.000
18,9.000
19,10.000
20,10.000
21,11.000
22,11.000
23,12.000
24,13.000
25,14.000
26,14.000
27,15.000
28,16.000
29,17.000
30,17.000
31,18.000
32,19.000
33,20.000
34,21.000
35,22.000
36,23.000
37,24.000
38,25.000
39,26.000
40,27.000
41,28.000
42,29.000
43,30.000
44,31.000
45,32.000
46,33.000
47,35.000
48,36.000
49,37.000
50,38.000
51,39.000
52,41.000
53,42.000
54,43.000
55,44.000
56,46.000
57,47.000
58,48.000
59,49.000
60,51.000
61,52.000
62,53.000
63,54.000
64,56.000
65,57.000
66,58.000
67,59.000
68,61.000
69,62.000
70,63.000
71,64.000
72,66.000
73,67.000
74,68.000
75,69.000
76,70.000
77,72.000
78,73.000
79,74.000
80,75.000
81,76.000
82,78.000
83,79.000
84,80.000
85,81.000
86,82.000
87,84.000
88,85.000
89,86.000
90,87.000
91,88.000
92,89.000
93,91.000
94,92.000
95,93.000
96,94.000
97,95.000
98,97.000
99,98.000
100,99.000
101,100.000
102,101.000
103,102.000
104,103.000
105,105.000
106,106.000
107,107.000
108,108.000
109,109.000
110,110.000
111,111.000
112,112.000
113,114.000
114,115.000
115,116.000
116,117.000
117,118.000
118,119.000
119,120.000
120,121.000
121,122.000
122,123.000
123,124.000
124,125.000
125,126.000
126,127.000
127,128.000
128,129.000
129,130.000
130,131.000
131,132.000
132,133.000
133,134.000
134,135.000
135,136.000
136,137.000
137,138.000
138,139.000
139,140.000
140,141.000
141,142.000
142,143.000
143,144.000
144,144.000
145,145.000
146,146.000
147,147.000
148,148.000
149,149.000
150,150.000
151,151.000
152,152.000
153,152.000
154,153.000
155,154.000
156,155.000
157,156.000
158,157.000
159,158.000
160,159.000
161,159.000
162,160.000
163,161.000
164,162.000
165,163.000
166,164.000
167,165.000
168,165.000
169,166.000
170,167.000
171,168.000
172,169.000
173,170.000
174,171.000
175,172.000
176,172.000
177,173.000
178,174.000
179,175.000
180,176.000
181,177.000
182,178.000
183,179.000
184,179.000
185,180.000
186,181.000
187,182.000
188,183.000
189,184.000
190,185.000
191,186.000
192,186.000
193,187.000
194,188.000
195,189.000
196,190.000
197,191.000
198,192.000
199,193.000
200,194.000
201,194.000
202,195.000
203,196.000
204,197.000
205,198.000
206,199.000
207,200.000
208,201.000
209,201.000
210,202.000
211,203.000
212,204.000
213,205.000
214,206.000
215,207.000
216,208.000
217,208.000
218,209.000
219,210.000
220,211.000
221,212.000
222,213.000
223,214.000
224,215.000
225,216.000
226,217.000
227,217.000
228,218.000
229,219.000
230,220.000
231,221.000
232,222.000
233,224.000
234,225.000
235,226.000
236,227.000
237,228.000
238,229.000
239,230.000
240,232.000
241,233.000
242,234.000
243,236.000
244,237.000
245,239.000
246,240.000
247,242.000
248,243.000
249,245.000
250,247.000
251,248.000
252,250.000
253,252.000
254,254.000
255,255.000
