level,out
0,0.000
1,0.000
2,1.000
3,2.000
4,3.000
5,4.000
6,4.000
7,5.000
8,6.000
9,7.000
10,8.000
11,9.000
12,9.000
13,10.000
14,11.000
15,12.000
16,13.000
17,14.000
18,15.000
19,15.000
20,16.000
21,17.000
22,18.000
23,19.000
24,20.000
25,21.000
26,22.000
27,23.000
28,24.000
29,25.000
30,25.000
31,26.000
32,27.000
33,28.000
34,29.000
35,30.000
36,31.000
37,32.000
38,33.000
39,34.000
40,35.000
41,36.000
42,37.000
43,38.000
44,40.000
45,41.000
46,42.000
47,43.000
48,44.000
49,45.000
50,46.000
51,47.000
52,48.000
53,50.000
54,51.000
55,52.000
56,53.000
57,54.000
58,56.000
59,57.000
60,58.000
61,59.000
62,60.000
63,62.000
64,63.000
65,64.000
66,65.000
67,66.000
68,68.000
69,69.000
70,70.000
71,71.000
72,73.000
73,74.000
74,75.000
75,76.000
76,78.000
77,79.000
78,80.000
79,81.000
80,83.000
81,84.000
82,85.000
83,86.000
84,88.000
85,89.000
86,90.000
87,91.000
88,93.000
89,94.000
90,95.000
91,96.000
92,98.000
93,99.000
94,100.000
95,101.000
96,102.000
97,104.000
98,105.000
99,106.000
100,107.000
101,108.000
102,110.000
103,111.000
104,112.000
105,113.000
106,114.000
107,115.000
108,116.000
109,118.000
110,119.000
111,120.000
112,121.000
113,122.000
114,123.000
115,124.000
116,125.000
117,126.000
118,128.000
119,128.000
120,130.000
121,131.000
122,132.000
123,133.000
124,134.000
125,135.000
126,136.000
127,137.000
128,138.000
129,139.000
130,140.000
131,141.000
132,142.000
133,143.000
134,144.000
135,145.000
136,146.000
137,147.000
138,148.000
139,149.000
140,150.000
141,151.000
142,152.000
143,153.000
144,154.000
145,155.000
146,156.000
147,157.000
148,158.000
149,159.000
150,160.000
151,161.000
152,162.000
153,163.000
154,164.000
155,165.000
156,166.000
157,167.000
158,168.000
159,169.000
160,170.000
161,171.000
162,172.000
163,173.000
164,174.000
165,175.000
166,176.000
167,177.000
168,178.000
169,179.000
170,179.000
171,180.000
172,181.000
173,182.000
174,183.000
175,184.000
176,185.000
177,186.000
178,187.000
179,188.000
180,189.000
181,190.000
182,191.000
183,192.000
184,192.000
185,193.000
186,194.000
187,195.000
188,196.000
189,197.000
190,198.000
191,199.000
192,200.000
193,201.000
194,202.000
195,202.000
196,203.000
197,204.000
198,205.000
199,206.000
200,207.000
201,208.000
202,209.000
203,210.000
204,211.000
205,211.000
206,212.000
207,213.000
208,214.000
209,215.000
210,216.000
211,217.000
212,218.000
213,219.000
214,219.000
215,220.000
216,221.000
217,222.000
218,223.000
219,224.000
220,225.000
221,226.000
222,227.000
223,227.000
224,228.000
225,229.000
226,230.000
227,231.000
228,232.000
229,233.000
230,234.000
231,234.000
232,235.000
233,236.000
234,237.000
235,238.000
236,239.000
237,240.000
238,241.000
239,241.000
240,242.000
241,243.000
242,244.000
243,245.000
244,246.000
245,247.000
246,248.000
247,248.000
248,249.000
249,250.000
250,251.000
251,252.000
252,253.000
253,254.000
254,255.000
255,255.000
