level,out
0,0.000
1,0.000
2,1.000
3,1.000
4,2.000
5,2.000
6,3.000
7,3.000
8,4.000
9,4.000
10,5.000
11,6.000
12,6.000
13,7.000
14,7.000
15,8.000
16,9.000
17,9.000
18,10.000
19,10.000
20,11.000
21,12.000
22,12.000
23,13.000
24,14.000
25,14.000
26,15.000
27,16.000
28,16.000
29,17.000
30,18.000
31,19.000
32,19.000
33,20.000
34,21.000
35,22.000
36,23.000
37,23.000
38,24.000
39,25.000
40,26.000
41,27.000
42,28.000
43,29.000
44,29.000
45,30.000
46,31.000
47,32.000
48,33.000
49,34.000
50,35.000
51,36.000
52,37.000
53,38.000
54,39.000
55,40.000
56,41.000
57,42.000
58,43.000
59,44.000
60,45.000
61,46.000
62,47.000
63,48.000
64,50.000
65,51.000
66,52.000
67,53.000
68,54.000
69,55.000
70,56.000
71,57.000
72,58.000
73,59.000
74,60.000
75,61.000
76,62.000
77,63.000
78,64.000
79,65.000
80,66.000
81,68.000
82,69.000
83,70.000
84,71.000
85,72.000
86,74.000
87,75.000
88,76.000
89,77.000
90,79.000
91,80.000
92,82.000
93,83.000
94,85.000
95,86.000
96,88.000
97,89.000
98,91.000
99,92.000
100,94.000
101,96.000
102,98.000
103,100.000
104,102.000
105,104.000
106,106.000
107,108.000
108,110.000
109,112.000
110,114.000
111,116.000
112,119.000
113,121.000
114,123.000
115,125.000
116,128.000
117,130.000
118,132.000
119,134.000
120,136.000
121,138.000
122,141.000
123,143.000
124,145.000
125,147.000
126,149.000
127,151.000
128,153.000
129,154.000
130,156.000
131,158.000
132,160.000
133,162.000
134,163.000
135,165.000
136,167.000
137,168.000
138,170.000
139,171.000
140,173.000
141,174.000
142,176.000
143,177.000
144,179.000
145,180.000
146,182.000
147,183.000
148,184.000
149,186.000
150,187.000
151,188.000
152,189.000
153,191.000
154,192.000
155,193.000
156,194.000
157,196.000
158,197.000
159,198.000
160,199.000
161,200.000
162,201.000
163,202.000
164,203.000
165,205.000
166,206.000
167,207.000
168,208.000
169,209.000
170,210.000
171,211.000
172,212.000
173,213.000
174,214.000
175,215.000
176,216.000
177,217.000
178,218.000
179,219.000
180,220.000
181,221.000
182,222.000
183,223.000
184,224.000
185,225.000
186,226.000
187,227.000
188,228.000
189,229.000
190,230.000
191,231.000
192,232.000
193,233.000
194,233.000
195,234.000
196,235.000
197,236.000
198,237.000
199,238.000
200,239.000
201,239.000
202,240.000
203,241.000
204,242.000
205,242.000
206,243.000
207,244.000
208,245.000
209,245.000
210,246.000
211,246.000
212,247.000
213,247.000
214,248.000
215,248.000
216,249.000
217,249.000
218,250.000
219,250.000
220,251.000
221,251.000
222,251.000
223,251.000
224,252.000
225,252.000
226,252.000
227,253.000
228,253.000
229,253.000
230,253.000
231,254.000
232,254.000
233,254.000
234,254.000
235,254.000
236,254.000
237,254.000
238,255.000
239,255.000
240,255.000
241,255.000
242,255.000
243,255.000
244,255.000
245,255.000
246,255.000
247,255.000
248,255.000
249,255.000
250,255.000
251,255.000
252,255.000
253,255.000
254,255.000
255,255.000
