level,out
0,0.000
1,0.000
2,1.000
3,2.000
4,3.000
5,3.000
6,4.000
7,5.000
8,6.000
9,6.000
10,7.000
11,8.000
12,9.000
13,10.000
14,10.000
15,11.000
16,12.000
17,13.000
18,13.000
19,14.000
20,15.000
21,16.000
22,17.000
23,17.000
24,18.000
25,19.000
26,20.000
27,20.000
28,21.000
29,22.000
30,23.000
31,24.000
32,24.000
33,25.000
34,26.000
35,27.000
36,28.000
37,28.000
38,29.000
39,30.000
40,31.000
41,32.000
42,32.000
43,33.000
44,34.000
45,35.000
46,36.000
47,36.000
48,37.000
49,38.000
50,39.000
51,40.000
52,40.000
53,41.000
54,42.000
55,43.000
56,44.000
57,44.000
58,45.000
59,46.000
60,47.000
61,48.000
62,49.000
63,49.000
64,50.000
65,51.000
66,52.000
67,53.000
68,54.000
69,55.000
70,55.000
71,56.000
72,57.000
73,58.000
74,59.000
75,60.000
76,61.000
77,61.000
78,62.000
79,63.000
80,64.000
81,65.000
82,66.000
83,67.000
84,68.000
85,68.000
86,69.000
87,70.000
88,71.000
89,72.000
90,73.000
91,74.000
92,75.000
93,76.000
94,77.000
95,78.000
96,79.000
97,80.000
98,81.000
99,81.000
100,83.000
101,83.000
102,84.000
103,85.000
104,86.000
105,87.000
106,88.000
107,89.000
108,91.000
109,91.000
110,93.000
111,94.000
112,95.000
113,96.000
114,97.000
115,98.000
116,99.000
117,100.000
118,101.000
119,102.000
120,103.000
121,104.000
122,106.000
123,107.000
124,108.000
125,109.000
126,110.000
127,111.000
128,113.000
129,114.000
130,115.000
131,116.000
132,117.000
133,119.000
134,120.000
135,121.000
136,122.000
137,124.000
138,125.000
139,126.000
140,127.000
141,129.000
142,130.000
143,131.000
144,132.000
145,134.000
146,135.000
147,136.000
148,138.000
149,139.000
150,140.000
151,141.000
152,143.000
153,144.000
154,145.000
155,147.000
156,148.000
157,149.000
158,151.000
159,152.000
160,153.000
161,154.000
162,156.000
163,157.000
164,158.000
165,160.000
166,161.000
167,162.000
168,164.000
169,165.000
170,166.000
171,167.000
172,169.000
173,170.000
174,171.000
175,172.000
176,174.000
177,175.000
178,176.000
179,177.000
180,179.000
181,180.000
182,181.000
183,182.000
184,184.000
185,185.000
186,186.000
187,187.000
188,188.000
189,190.000
190,191.000
191,192.000
192,193.000
193,194.000
194,195.000
195,196.000
196,198.000
197,199.000
198,200.000
199,201.000
200,202.000
201,203.000
202,204.000
203,205.000
204,206.000
205,207.000
206,208.000
207,209.000
208,210.000
209,212.000
210,213.000
211,214.000
212,215.000
213,216.000
214,217.000
215,218.000
216,219.000
217,220.000
218,221.000
219,222.000
220,223.000
221,224.000
222,225.000
223,226.000
224,227.000
225,227.000
226,228.000
227,229.000
228,230.000
229,231.000
230,232.000
231,233.000
232,234.000
233,235.000
234,236.000
235,237.000
236,238.000
237,239.000
238,240.000
239,241.000
240,242.000
241,243.000
242,243.000
243,244.000
244,245.000
245,246.000
246,247.000
247,248.000
248,249.000
249,250.000
250,251.000
251,252.000
252,253.000
253,254.000
254,254.000
255,255.000
