level,out
0,1.000
1,2.000
2,2.000
3,3.000
4,4.000
5,5.000
6,5.000
7,6.000
8,7.000
9,8.000
10,9.000
11,10.000
12,10.000
13,11.000
14,12.000
15,13.000
16,14.000
17,15.000
18,16.000
19,17.000
20,18.000
21,18.000
22,19.000
23,20.000
24,21.000
25,22.000
26,23.000
27,24.000
28,25.000
29,26.000
30,27.000
31,28.000
32,29.000
33,30.000
34,31.000
35,32.000
36,33.000
37,34.000
38,35.000
39,37.000
40,38.000
41,39.000
42,40.000
43,41.000
44,42.000
45,43.000
46,44.000
47,45.000
48,46.000
49,47.000
50,48.000
51,49.000
52,50.000
53,52.000
54,53.000
55,54.000
56,55.000
57,56.000
58,57.000
59,58.000
60,59.000
61,60.000
62,61.000
63,62.000
64,63.000
65,65.000
66,66.000
67,67.000
68,68.000
69,69.000
70,70.000
71,71.000
72,72.000
73,73.000
74,74.000
75,75.000
76,76.000
77,78.000
78,79.000
79,80.000
80,81.000
81,82.000
82,83.000
83,84.000
84,85.000
85,86.000
86,87.000
87,88.000
88,89.000
89,90.000
90,91.000
91,92.000
92,94.000
93,95.000
94,96.000
95,97.000
96,98.000
97,99.000
98,100.000
99,101.000
100,102.000
101,103.000
102,104.000
103,105.000
104,106.000
105,107.000
106,108.000
107,109.000
108,111.000
109,112.000
110,113.000
111,114.000
112,115.000
113,116.000
114,117.000
115,118.000
116,119.000
117,120.000
118,121.000
119,122.000
120,123.000
121,124.000
122,126.000
123,127.000
124,128.000
125,129.000
126,130.000
127,131.000
128,132.000
129,133.000
130,134.000
131,136.000
132,137.000
133,138.000
134,139.000
135,140.000
136,141.000
137,143.000
138,144.000
139,145.000
140,146.000
141,147.000
142,148.000
143,149.000
144,151.000
145,152.000
146,153.000
147,154.000
148,155.000
149,156.000
150,158.000
151,159.000
152,160.000
153,161.000
154,162.000
155,163.000
156,165.000
157,166.000
158,167.000
159,168.000
160,169.000
161,170.000
162,171.000
163,172.000
164,174.000
165,175.000
166,176.000
167,177.000
168,178.000
169,179.000
170,180.000
171,181.000
172,182.000
173,183.000
174,184.000
175,185.000
176,187.000
177,188.000
178,189.000
179,190.000
180,191.000
181,192.000
182,193.000
183,194.000
184,195.000
185,196.000
186,197.000
187,198.000
188,199.000
189,200.000
190,201.000
191,202.000
192,203.000
193,204.000
194,205.000
195,206.000
196,207.000
197,207.000
198,208.000
199,209.000
200,210.000
201,211.000
202,212.000
203,213.000
204,214.000
205,215.000
206,216.000
207,216.000
208,217.000
209,218.000
210,219.000
211,220.000
212,221.000
213,222.000
214,222.000
215,223.000
216,224.000
217,225.000
218,226.000
219,227.000
220,227.000
221,228.000
222,229.000
223,230.000
224,231.000
225,231.000
226,232.000
227,233.000
228,234.000
229,235.000
230,235.000
231,236.000
232,237.000
233,238.000
234,238.000
235,239.000
236,240.000
237,241.000
238,241.000
239,242.000
240,243.000
241,244.000
242,244.000
243,245.000
244,246.000
245,247.000
246,247.000
247,248.000
248,249.000
249,250.000
250,250.000
251,251.000
252,252.000
253,252.000
254,253.000
255,254.000
