level,out
0,0.000
1,0.000
2,0.000
3,1.000
4,1.000
5,2.000
6,2.000
7,2.000
8,3.000
9,3.000
10,4.000
11,4.000
12,4.000
13,5.000
14,5.000
15,6.000
16,6.000
17,7.000
18,7.000
19,8.000
20,8.000
21,9.000
22,9.000
23,10.000
24,10.000
25,11.000
26,11.000
27,12.000
28,12.000
29,13.000
30,14.000
31,14.000
32,15.000
33,15.000
34,16.000
35,17.000
36,17.000
37,18.000
38,19.000
39,20.000
40,20.000
41,21.000
42,22.000
43,23.000
44,24.000
45,24.000
46,25.000
47,26.000
48,27.000
49,28.000
50,29.000
51,30.000
52,31.000
53,32.000
54,33.000
55,34.000
56,35.000
57,36.000
58,37.000
59,38.000
60,39.000
61,40.000
62,41.000
63,42.000
64,44.000
65,45.000
66,46.000
67,47.000
68,48.000
69,49.000
70,51.000
71,52.000
72,53.000
73,54.000
74,55.000
75,57.000
76,58.000
77,59.000
78,60.000
79,62.000
80,63.000
81,64.000
82,66.000
83,67.000
84,68.000
85,70.000
86,71.000
87,72.000
88,74.000
89,75.000
90,76.000
91,78.000
92,79.000
93,80.000
94,82.000
95,83.000
96,85.000
97,86.000
98,88.000
99,89.000
100,90.000
101,92.000
102,93.000
103,95.000
104,96.000
105,97.000
106,99.000
107,100.000
108,102.000
109,103.000
110,105.000
111,106.000
112,107.000
113,109.000
114,110.000
115,112.000
116,113.000
117,115.000
118,116.000
119,117.000
120,119.000
121,120.000
122,122.000
123,123.000
124,125.000
125,126.000
126,128.000
127,129.000
128,130.000
129,132.000
130,133.000
131,134.000
132,136.000
133,137.000
134,139.000
135,140.000
136,141.000
137,143.000
138,144.000
139,146.000
140,147.000
141,148.000
142,150.000
143,151.000
144,152.000
145,154.000
146,155.000
147,156.000
148,157.000
149,159.000
150,160.000
151,161.000
152,163.000
153,164.000
154,165.000
155,166.000
156,168.000
157,169.000
158,170.000
159,171.000
160,172.000
161,173.000
162,175.000
163,176.000
164,177.000
165,178.000
166,179.000
167,180.000
168,181.000
169,183.000
170,184.000
171,185.000
172,186.000
173,187.000
174,188.000
175,189.000
176,190.000
177,191.000
178,192.000
179,193.000
180,194.000
181,195.000
182,196.000
183,197.000
184,198.000
185,199.000
186,200.000
187,201.000
188,202.000
189,203.000
190,204.000
191,205.000
192,206.000
193,207.000
194,207.000
195,208.000
196,209.000
197,210.000
198,211.000
199,212.000
200,213.000
201,214.000
202,215.000
203,215.000
204,216.000
205,217.000
206,218.000
207,219.000
208,220.000
209,220.000
210,221.000
211,222.000
212,223.000
213,224.000
214,225.000
215,225.000
216,226.000
217,227.000
218,228.000
219,229.000
220,229.000
221,230.000
222,231.000
223,232.000
224,232.000
225,233.000
226,234.000
227,235.000
228,236.000
229,236.000
230,237.000
231,238.000
232,239.000
233,239.000
234,240.000
235,241.000
236,242.000
237,242.000
238,243.000
239,244.000
240,244.000
241,245.000
242,246.000
243,247.000
244,247.000
245,248.000
246,249.000
247,250.000
248,250.000
249,251.000
250,252.000
251,252.000
252,253.000
253,254.000
254,255.000
255,255.000
