level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,1.000
5,1.000
6,1.000
7,2.000
8,2.000
9,2.000
10,3.000
11,3.000
12,4.000
13,4.000
14,4.000
15,5.000
16,5.000
17,5.000
18,6.000
19,6.000
20,7.000
21,7.000
22,7.000
23,8.000
24,8.000
25,9.000
26,9.000
27,10.000
28,10.000
29,11.000
30,11.000
31,12.000
32,12.000
33,13.000
34,14.000
35,14.000
36,15.000
37,15.000
38,16.000
39,17.000
40,17.000
41,18.000
42,19.000
43,20.000
44,20.000
45,21.000
46,22.000
47,23.000
48,24.000
49,24.000
50,25.000
51,26.000
52,27.000
53,28.000
54,29.000
55,30.000
56,31.000
57,32.000
58,33.000
59,34.000
60,36.000
61,37.000
62,38.000
63,39.000
64,41.000
65,42.000
66,43.000
67,44.000
68,46.000
69,47.000
70,49.000
71,50.000
72,51.000
73,53.000
74,54.000
75,56.000
76,57.000
77,59.000
78,61.000
79,62.000
80,64.000
81,65.000
82,67.000
83,68.000
84,70.000
85,72.000
86,73.000
87,75.000
88,77.000
89,78.000
90,80.000
91,82.000
92,84.000
93,85.000
94,87.000
95,89.000
96,91.000
97,92.000
98,94.000
99,96.000
100,98.000
101,99.000
102,101.000
103,103.000
104,105.000
105,106.000
106,108.000
107,110.000
108,112.000
109,113.000
110,115.000
111,117.000
112,118.000
113,120.000
114,122.000
115,123.000
116,125.000
117,127.000
118,128.000
119,130.000
120,132.000
121,133.000
122,135.000
123,136.000
124,138.000
125,140.000
126,141.000
127,143.000
128,144.000
129,146.000
130,147.000
131,149.000
132,150.000
133,152.000
134,153.000
135,154.000
136,156.000
137,157.000
138,159.000
139,160.000
140,161.000
141,163.000
142,164.000
143,165.000
144,166.000
145,168.000
146,169.000
147,170.000
148,171.000
149,173.000
150,174.000
151,175.000
152,176.000
153,177.000
154,179.000
155,180.000
156,181.000
157,182.000
158,183.000
159,184.000
160,185.000
161,186.000
162,187.000
163,188.000
164,189.000
165,190.000
166,191.000
167,192.000
168,193.000
169,194.000
170,195.000
171,196.000
172,197.000
173,198.000
174,199.000
175,200.000
176,201.000
177,202.000
178,203.000
179,204.000
180,204.000
181,205.000
182,206.000
183,207.000
184,208.000
185,209.000
186,210.000
187,210.000
188,211.000
189,212.000
190,213.000
191,213.000
192,214.000
193,215.000
194,216.000
195,217.000
196,217.000
197,218.000
198,219.000
199,219.000
200,220.000
201,221.000
202,222.000
203,222.000
204,223.000
205,224.000
206,224.000
207,225.000
208,226.000
209,226.000
210,227.000
211,228.000
212,228.000
213,229.000
214,229.000
215,230.000
216,231.000
217,231.000
218,232.000
219,232.000
220,233.000
221,234.000
222,234.000
223,235.000
224,235.000
225,236.000
226,237.000
227,237.000
228,238.000
229,238.000
230,239.000
231,239.000
232,240.000
233,240.000
234,241.000
235,242.000
236,242.000
237,243.000
238,243.000
239,244.000
240,244.000
241,245.000
242,245.000
243,246.000
244,246.000
245,247.000
246,247.000
247,248.000
248,249.000
249,249.000
250,250.000
251,250.000
252,251.000
253,251.000
254,252.000
255,252.000
