level,out
0,0.000
1,0.000
2,0.000
3,1.000
4,1.000
5,2.000
6,2.000
7,3.000
8,3.000
9,4.000
10,4.000
11,4.000
12,5.000
13,5.000
14,6.000
15,6.000
16,7.000
17,7.000
18,8.000
19,8.000
20,9.000
21,9.000
22,10.000
23,10.000
24,11.000
25,11.000
26,12.000
27,12.000
28,13.000
29,13.000
30,14.000
31,14.000
32,15.000
33,16.000
34,16.000
35,17.000
36,17.000
37,18.000
38,19.000
39,19.000
40,20.000
41,20.000
42,21.000
43,22.000
44,22.000
45,23.000
46,24.000
47,25.000
48,25.000
49,26.000
50,27.000
51,27.000
52,28.000
53,29.000
54,30.000
55,31.000
56,31.000
57,32.000
58,33.000
59,34.000
60,35.000
61,36.000
62,36.000
63,37.000
64,38.000
65,39.000
66,40.000
67,41.000
68,42.000
69,43.000
70,44.000
71,45.000
72,46.000
73,47.000
74,48.000
75,49.000
76,50.000
77,51.000
78,52.000
79,53.000
80,54.000
81,55.000
82,57.000
83,58.000
84,59.000
85,60.000
86,61.000
87,62.000
88,63.000
89,64.000
90,66.000
91,67.000
92,68.000
93,69.000
94,71.000
95,72.000
96,73.000
97,74.000
98,76.000
99,77.000
100,78.000
101,79.000
102,81.000
103,82.000
104,83.000
105,85.000
106,86.000
107,87.000
108,89.000
109,90.000
110,91.000
111,93.000
112,94.000
113,95.000
114,97.000
115,98.000
116,100.000
117,101.000
118,102.000
119,104.000
120,105.000
121,107.000
122,108.000
123,110.000
124,111.000
125,113.000
126,114.000
127,116.000
128,117.000
129,119.000
130,120.000
131,122.000
132,123.000
133,125.000
134,126.000
135,128.000
136,129.000
137,131.000
138,132.000
139,134.000
140,135.000
141,137.000
142,138.000
143,140.000
144,141.000
145,143.000
146,144.000
147,146.000
148,147.000
149,149.000
150,150.000
151,152.000
152,153.000
153,155.000
154,156.000
155,158.000
156,159.000
157,161.000
158,162.000
159,164.000
160,165.000
161,167.000
162,168.000
163,169.000
164,171.000
165,172.000
166,174.000
167,175.000
168,176.000
169,178.000
170,179.000
171,180.000
172,182.000
173,183.000
174,184.000
175,185.000
176,187.000
177,188.000
178,189.000
179,190.000
180,192.000
181,193.000
182,194.000
183,195.000
184,196.000
185,197.000
186,198.000
187,200.000
188,201.000
189,202.000
190,203.000
191,204.000
192,205.000
193,206.000
194,207.000
195,208.000
196,209.000
197,210.000
198,211.000
199,212.000
200,213.000
201,214.000
202,215.000
203,216.000
204,217.000
205,217.000
206,218.000
207,219.000
208,220.000
209,221.000
210,222.000
211,223.000
212,224.000
213,224.000
214,225.000
215,226.000
216,227.000
217,228.000
218,229.000
219,229.000
220,230.000
221,231.000
222,232.000
223,233.000
224,233.000
225,234.000
226,235.000
227,236.000
228,236.000
229,237.000
230,238.000
231,239.000
232,239.000
233,240.000
234,241.000
235,241.000
236,242.000
237,243.000
238,244.000
239,244.000
240,245.000
241,246.000
242,246.000
243,247.000
244,248.000
245,249.000
246,249.000
247,250.000
248,251.000
249,251.000
250,252.000
251,253.000
252,253.000
253,254.000
254,255.000
255,255.000
