level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,2.000
7,3.000
8,4.000
9,5.000
10,6.000
11,8.000
12,9.000
13,10.000
14,11.000
15,12.000
16,13.000
17,15.000
18,16.000
19,17.000
20,18.000
21,19.000
22,20.000
23,21.000
24,22.000
25,23.000
26,24.000
27,25.000
28,26.000
29,27.000
30,28.000
31,29.000
32,30.000
33,31.000
34,31.000
35,32.000
36,33.000
37,34.000
38,35.000
39,35.000
40,36.000
41,37.000
42,38.000
43,38.000
44,39.000
45,40.000
46,41.000
47,41.000
48,42.000
49,43.000
50,43.000
51,44.000
52,45.000
53,46.000
54,46.000
55,47.000
56,48.000
57,48.000
58,49.000
59,50.000
60,51.000
61,52.000
62,52.000
63,53.000
64,54.000
65,55.000
66,56.000
67,57.000
68,58.000
69,59.000
70,60.000
71,61.000
72,62.000
73,63.000
74,64.000
75,65.000
76,67.000
77,68.000
78,69.000
79,70.000
80,71.000
81,73.000
82,74.000
83,75.000
84,77.000
85,78.000
86,79.000
87,80.000
88,82.000
89,83.000
90,84.000
91,85.000
92,86.000
93,88.000
94,89.000
95,90.000
96,91.000
97,92.000
98,93.000
99,94.000
100,95.000
101,97.000
102,98.000
103,99.000
104,100.000
105,101.000
106,102.000
107,103.000
108,104.000
109,105.000
110,106.000
111,107.000
112,109.000
113,110.000
114,111.000
115,112.000
116,113.000
117,114.000
118,116.000
119,117.000
120,118.000
121,119.000
122,121.000
123,122.000
124,123.000
125,125.000
126,126.000
127,127.000
128,129.000
129,130.000
130,131.000
131,133.000
132,134.000
133,136.000
134,137.000
135,139.000
136,140.000
137,141.000
138,143.000
139,144.000
140,146.000
141,147.000
142,149.000
143,150.000
144,152.000
145,153.000
146,155.000
147,156.000
148,158.000
149,159.000
150,160.000
151,162.000
152,163.000
153,165.000
154,166.000
155,167.000
156,168.000
157,170.000
158,171.000
159,172.000
160,174.000
161,175.000
162,176.000
163,177.000
164,179.000
165,180.000
166,181.000
167,182.000
168,184.000
169,185.000
170,186.000
171,187.000
172,188.000
173,190.000
174,191.000
175,192.000
176,193.000
177,194.000
178,196.000
179,197.000
180,198.000
181,199.000
182,200.000
183,201.000
184,202.000
185,203.000
186,204.000
187,206.000
188,207.000
189,208.000
190,209.000
191,210.000
192,211.000
193,212.000
194,212.000
195,213.000
196,214.000
197,215.000
198,216.000
199,217.000
200,218.000
201,219.000
202,219.000
203,220.000
204,221.000
205,222.000
206,223.000
207,223.000
208,224.000
209,225.000
210,226.000
211,226.000
212,227.000
213,228.000
214,228.000
215,229.000
216,230.000
217,230.000
218,231.000
219,232.000
220,232.000
221,233.000
222,234.000
223,234.000
224,235.000
225,236.000
226,236.000
227,237.000
228,238.000
229,238.000
230,239.000
231,240.000
232,240.000
233,241.000
234,242.000
235,242.000
236,243.000
237,244.000
238,244.000
239,245.000
240,246.000
241,246.000
242,247.000
243,248.000
244,248.000
245,249.000
246,250.000
247,250.000
248,251.000
249,251.000
250,252.000
251,253.000
252,253.000
253,254.000
254,255.000
255,255.000
