level,out
0,0.000
1,0.016
2,1.016
3,1.480
4,2.039
5,2.645
6,3.387
7,3.898
8,4.539
9,5.191
10,5.836
11,6.527
12,7.051
13,7.801
14,8.348
15,9.242
16,9.715
17,10.496
18,11.094
19,11.730
20,12.453
21,13.000
22,13.727
23,14.500
24,15.109
25,15.965
26,16.539
27,16.883
28,17.840
29,18.156
30,19.633
31,19.926
32,21.117
33,21.484
34,22.555
35,22.887
36,23.719
37,24.531
38,25.383
39,26.094
40,26.676
41,27.703
42,28.688
43,29.027
44,30.098
45,30.812
46,31.703
47,32.457
48,33.109
49,34.180
50,35.082
51,36.016
52,36.969
53,37.883
54,38.477
55,39.156
56,40.223
57,41.051
58,42.145
59,42.562
60,43.520
61,44.555
62,45.957
63,46.094
64,47.289
65,47.441
66,49.512
67,50.453
68,51.281
69,51.098
70,52.539
71,53.586
72,55.324
73,56.426
74,57.242
75,58.480
76,58.898
77,59.793
78,61.352
79,61.922
80,63.109
81,64.227
82,64.914
83,65.699
84,66.609
85,67.410
86,68.992
87,70.293
88,70.676
89,71.805
90,73.395
91,73.734
92,75.930
93,76.074
94,77.836
95,78.688
96,79.398
97,80.297
98,81.121
99,82.539
100,84.828
101,84.723
102,85.910
103,87.828
104,88.402
105,88.844
106,90.371
107,91.520
108,92.711
109,93.750
110,93.500
111,95.070
112,96.984
113,98.457
114,98.629
115,100.613
116,101.605
117,102.266
118,103.051
119,104.031
120,106.445
121,107.684
122,108.812
123,109.164
124,111.039
125,111.891
126,113.305
127,114.551
128,114.926
129,116.648
130,117.703
131,119.047
132,120.363
133,121.188
134,122.109
135,123.336
136,124.246
137,126.215
138,126.574
139,128.273
140,129.391
141,129.965
142,131.098
143,132.926
144,133.934
145,135.699
146,136.133
147,137.965
148,139.094
149,140.250
150,142.199
151,141.668
152,143.066
153,144.988
154,146.320
155,146.184
156,149.297
157,148.734
158,149.844
159,152.555
160,153.148
161,154.875
162,156.102
163,156.891
164,157.363
165,158.984
166,160.367
167,161.984
168,162.934
169,163.410
170,164.168
171,165.918
172,167.625
173,168.621
174,169.520
175,170.203
176,171.371
177,173.387
178,173.758
179,175.012
180,175.941
181,176.598
182,178.680
183,179.336
184,181.168
185,182.074
186,182.609
187,183.668
188,184.582
189,185.520
190,186.488
191,188.082
192,188.820
193,189.395
194,190.734
195,191.953
196,192.980
197,194.707
198,195.793
199,196.566
200,197.641
201,198.250
202,199.168
203,199.984
204,201.062
205,202.113
206,202.887
207,204.531
208,205.469
209,206.113
210,207.707
211,208.855
212,209.836
213,210.105
214,211.609
215,212.824
216,213.125
217,214.668
218,215.711
219,216.051
220,216.441
221,218.242
222,218.793
223,219.938
224,220.859
225,221.590
226,222.781
227,223.359
228,224.293
229,225.402
230,225.777
231,227.641
232,228.195
233,228.641
234,229.812
235,230.371
236,231.953
237,232.680
238,233.539
239,234.859
240,235.508
241,236.234
242,237.160
243,238.242
244,238.574
245,239.938
246,241.055
247,241.707
248,242.676
249,243.391
250,244.469
251,245.316
252,246.297
253,247.141
254,248.020
255,248.812
