level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,1.000
37,2.000
38,3.000
39,5.000
40,6.000
41,8.000
42,9.000
43,10.000
44,12.000
45,13.000
46,14.000
47,16.000
48,17.000
49,18.000
50,20.000
51,21.000
52,23.000
53,24.000
54,25.000
55,27.000
56,28.000
57,29.000
58,31.000
59,32.000
60,34.000
61,35.000
62,36.000
63,38.000
64,39.000
65,41.000
66,42.000
67,43.000
68,45.000
69,46.000
70,48.000
71,49.000
72,50.000
73,52.000
74,53.000
75,55.000
76,56.000
77,58.000
78,59.000
79,60.000
80,62.000
81,63.000
82,65.000
83,66.000
84,68.000
85,69.000
86,71.000
87,72.000
88,74.000
89,75.000
90,77.000
91,78.000
92,80.000
93,81.000
94,83.000
95,84.000
96,86.000
97,87.000
98,89.000
99,90.000
100,92.000
101,93.000
102,95.000
103,96.000
104,98.000
105,99.000
106,101.000
107,102.000
108,104.000
109,105.000
110,107.000
111,108.000
112,110.000
113,111.000
114,113.000
115,114.000
116,116.000
117,118.000
118,119.000
119,121.000
120,122.000
121,124.000
122,125.000
123,127.000
124,128.000
125,129.000
126,131.000
127,132.000
128,134.000
129,136.000
130,137.000
131,139.000
132,140.000
133,141.000
134,143.000
135,144.000
136,146.000
137,147.000
138,149.000
139,150.000
140,152.000
141,153.000
142,154.000
143,156.000
144,157.000
145,159.000
146,160.000
147,161.000
148,163.000
149,164.000
150,166.000
151,167.000
152,168.000
153,170.000
154,171.000
155,172.000
156,173.000
157,175.000
158,176.000
159,177.000
160,179.000
161,180.000
162,181.000
163,182.000
164,183.000
165,185.000
166,186.000
167,187.000
168,188.000
169,189.000
170,190.000
171,192.000
172,193.000
173,194.000
174,195.000
175,196.000
176,197.000
177,198.000
178,199.000
179,200.000
180,201.000
181,202.000
182,203.000
183,204.000
184,205.000
185,206.000
186,207.000
187,208.000
188,209.000
189,210.000
190,211.000
191,211.000
192,212.000
193,213.000
194,214.000
195,215.000
196,216.000
197,216.000
198,217.000
199,218.000
200,219.000
201,220.000
202,220.000
203,221.000
204,222.000
205,223.000
206,223.000
207,224.000
208,225.000
209,225.000
210,226.000
211,227.000
212,228.000
213,228.000
214,229.000
215,230.000
216,230.000
217,231.000
218,231.000
219,232.000
220,233.000
221,233.000
222,234.000
223,235.000
224,235.000
225,236.000
226,236.000
227,237.000
228,238.000
229,238.000
230,239.000
231,239.000
232,240.000
233,240.000
234,241.000
235,242.000
236,242.000
237,243.000
238,243.000
239,244.000
240,244.000
241,245.000
242,245.000
243,246.000
244,246.000
245,247.000
246,247.000
247,248.000
248,249.000
249,249.000
250,250.000
251,250.000
252,251.000
253,251.000
254,252.000
255,252.000
