level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,1.000
32,2.000
33,3.000
34,5.000
35,6.000
36,8.000
37,9.000
38,11.000
39,12.000
40,13.000
41,15.000
42,16.000
43,18.000
44,19.000
45,20.000
46,22.000
47,23.000
48,25.000
49,26.000
50,28.000
51,29.000
52,30.000
53,32.000
54,33.000
55,35.000
56,36.000
57,37.000
58,39.000
59,40.000
60,42.000
61,43.000
62,44.000
63,46.000
64,47.000
65,48.000
66,50.000
67,51.000
68,53.000
69,54.000
70,55.000
71,57.000
72,58.000
73,59.000
74,61.000
75,62.000
76,63.000
77,65.000
78,66.000
79,67.000
80,69.000
81,70.000
82,71.000
83,73.000
84,74.000
85,75.000
86,77.000
87,78.000
88,79.000
89,81.000
90,82.000
91,83.000
92,85.000
93,86.000
94,87.000
95,88.000
96,90.000
97,91.000
98,92.000
99,94.000
100,95.000
101,96.000
102,97.000
103,99.000
104,100.000
105,101.000
106,103.000
107,104.000
108,105.000
109,106.000
110,108.000
111,109.000
112,110.000
113,111.000
114,112.000
115,114.000
116,115.000
117,116.000
118,117.000
119,119.000
120,120.000
121,121.000
122,122.000
123,123.000
124,125.000
125,126.000
126,127.000
127,128.000
128,129.000
129,130.000
130,132.000
131,133.000
132,134.000
133,135.000
134,136.000
135,137.000
136,139.000
137,140.000
138,141.000
139,142.000
140,143.000
141,144.000
142,145.000
143,146.000
144,148.000
145,149.000
146,150.000
147,151.000
148,152.000
149,153.000
150,154.000
151,155.000
152,156.000
153,157.000
154,159.000
155,159.000
156,161.000
157,162.000
158,163.000
159,164.000
160,165.000
161,166.000
162,167.000
163,168.000
164,169.000
165,170.000
166,171.000
167,172.000
168,173.000
169,174.000
170,175.000
171,176.000
172,177.000
173,178.000
174,179.000
175,180.000
176,181.000
177,182.000
178,183.000
179,184.000
180,185.000
181,186.000
182,187.000
183,188.000
184,189.000
185,190.000
186,191.000
187,192.000
188,193.000
189,194.000
190,195.000
191,196.000
192,197.000
193,198.000
194,199.000
195,199.000
196,200.000
197,201.000
198,202.000
199,203.000
200,204.000
201,205.000
202,206.000
203,207.000
204,208.000
205,209.000
206,210.000
207,210.000
208,211.000
209,212.000
210,213.000
211,214.000
212,215.000
213,216.000
214,217.000
215,218.000
216,218.000
217,219.000
218,220.000
219,221.000
220,222.000
221,223.000
222,224.000
223,225.000
224,226.000
225,226.000
226,227.000
227,228.000
228,229.000
229,230.000
230,231.000
231,232.000
232,232.000
233,233.000
234,234.000
235,235.000
236,236.000
237,237.000
238,238.000
239,239.000
240,239.000
241,240.000
242,241.000
243,242.000
244,243.000
245,244.000
246,244.000
247,245.000
248,246.000
249,247.000
250,248.000
251,249.000
252,250.000
253,250.000
254,251.000
255,252.000
