level,out
0,1.000
1,2.000
2,2.000
3,2.000
4,3.000
5,3.000
6,4.000
7,4.000
8,5.000
9,5.000
10,6.000
11,6.000
12,7.000
13,7.000
14,8.000
15,8.000
16,9.000
17,9.000
18,10.000
19,10.000
20,11.000
21,11.000
22,12.000
23,13.000
24,13.000
25,14.000
26,14.000
27,15.000
28,15.000
29,16.000
30,17.000
31,17.000
32,18.000
33,18.000
34,19.000
35,20.000
36,20.000
37,21.000
38,22.000
39,22.000
40,23.000
41,24.000
42,25.000
43,25.000
44,26.000
45,27.000
46,28.000
47,29.000
48,29.000
49,30.000
50,31.000
51,32.000
52,33.000
53,34.000
54,35.000
55,36.000
56,37.000
57,38.000
58,39.000
59,39.000
60,41.000
61,42.000
62,43.000
63,44.000
64,45.000
65,46.000
66,47.000
67,48.000
68,49.000
69,50.000
70,52.000
71,53.000
72,54.000
73,55.000
74,56.000
75,58.000
76,59.000
77,60.000
78,62.000
79,63.000
80,64.000
81,65.000
82,67.000
83,68.000
84,69.000
85,71.000
86,72.000
87,73.000
88,75.000
89,76.000
90,78.000
91,79.000
92,80.000
93,82.000
94,83.000
95,84.000
96,86.000
97,87.000
98,89.000
99,90.000
100,92.000
101,93.000
102,94.000
103,96.000
104,97.000
105,99.000
106,100.000
107,102.000
108,103.000
109,104.000
110,106.000
111,107.000
112,109.000
113,110.000
114,112.000
115,113.000
116,115.000
117,116.000
118,117.000
119,119.000
120,120.000
121,122.000
122,123.000
123,124.000
124,126.000
125,127.000
126,128.000
127,130.000
128,131.000
129,133.000
130,134.000
131,135.000
132,137.000
133,138.000
134,139.000
135,141.000
136,142.000
137,143.000
138,144.000
139,146.000
140,147.000
141,148.000
142,149.000
143,151.000
144,152.000
145,153.000
146,154.000
147,156.000
148,157.000
149,158.000
150,159.000
151,160.000
152,161.000
153,163.000
154,164.000
155,165.000
156,166.000
157,167.000
158,168.000
159,169.000
160,171.000
161,172.000
162,173.000
163,174.000
164,175.000
165,176.000
166,177.000
167,178.000
168,179.000
169,180.000
170,181.000
171,182.000
172,183.000
173,184.000
174,185.000
175,187.000
176,188.000
177,189.000
178,190.000
179,191.000
180,192.000
181,193.000
182,193.000
183,194.000
184,195.000
185,196.000
186,197.000
187,198.000
188,199.000
189,200.000
190,201.000
191,202.000
192,203.000
193,204.000
194,205.000
195,206.000
196,207.000
197,208.000
198,208.000
199,209.000
200,210.000
201,211.000
202,212.000
203,213.000
204,214.000
205,215.000
206,216.000
207,216.000
208,217.000
209,218.000
210,219.000
211,220.000
212,221.000
213,222.000
214,222.000
215,223.000
216,224.000
217,225.000
218,226.000
219,227.000
220,227.000
221,228.000
222,229.000
223,230.000
224,231.000
225,232.000
226,232.000
227,233.000
228,234.000
229,235.000
230,236.000
231,236.000
232,237.000
233,238.000
234,239.000
235,240.000
236,240.000
237,241.000
238,242.000
239,243.000
240,244.000
241,244.000
242,245.000
243,246.000
244,247.000
245,248.000
246,248.000
247,249.000
248,250.000
249,251.000
250,251.000
251,252.000
252,253.000
253,254.000
254,255.000
255,255.000
