level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,1.000
22,2.000
23,3.000
24,4.000
25,5.000
26,6.000
27,7.000
28,8.000
29,9.000
30,10.000
31,11.000
32,12.000
33,13.000
34,13.000
35,14.000
36,15.000
37,16.000
38,17.000
39,18.000
40,19.000
41,20.000
42,21.000
43,22.000
44,23.000
45,24.000
46,25.000
47,26.000
48,27.000
49,28.000
50,29.000
51,30.000
52,31.000
53,32.000
54,33.000
55,34.000
56,36.000
57,37.000
58,38.000
59,39.000
60,40.000
61,41.000
62,42.000
63,43.000
64,44.000
65,46.000
66,47.000
67,48.000
68,49.000
69,50.000
70,51.000
71,53.000
72,54.000
73,55.000
74,56.000
75,57.000
76,59.000
77,60.000
78,61.000
79,62.000
80,64.000
81,65.000
82,66.000
83,67.000
84,69.000
85,70.000
86,71.000
87,73.000
88,74.000
89,75.000
90,77.000
91,78.000
92,79.000
93,81.000
94,82.000
95,84.000
96,85.000
97,86.000
98,88.000
99,89.000
100,91.000
101,92.000
102,93.000
103,95.000
104,96.000
105,98.000
106,99.000
107,100.000
108,102.000
109,103.000
110,105.000
111,106.000
112,108.000
113,109.000
114,111.000
115,112.000
116,114.000
117,115.000
118,117.000
119,118.000
120,120.000
121,121.000
122,123.000
123,124.000
124,126.000
125,127.000
126,129.000
127,130.000
128,132.000
129,133.000
130,135.000
131,136.000
132,138.000
133,140.000
134,141.000
135,143.000
136,144.000
137,146.000
138,147.000
139,149.000
140,150.000
141,152.000
142,154.000
143,155.000
144,157.000
145,158.000
146,160.000
147,161.000
148,163.000
149,165.000
150,166.000
151,168.000
152,169.000
153,171.000
154,172.000
155,174.000
156,175.000
157,177.000
158,178.000
159,180.000
160,181.000
161,183.000
162,184.000
163,186.000
164,187.000
165,189.000
166,190.000
167,192.000
168,193.000
169,194.000
170,196.000
171,197.000
172,198.000
173,200.000
174,201.000
175,203.000
176,204.000
177,205.000
178,206.000
179,208.000
180,209.000
181,210.000
182,211.000
183,213.000
184,214.000
185,215.000
186,216.000
187,217.000
188,218.000
189,219.000
190,220.000
191,222.000
192,223.000
193,224.000
194,225.000
195,226.000
196,226.000
197,227.000
198,228.000
199,229.000
200,230.000
201,231.000
202,232.000
203,232.000
204,233.000
205,234.000
206,235.000
207,235.000
208,236.000
209,237.000
210,237.000
211,238.000
212,239.000
213,239.000
214,240.000
215,240.000
216,241.000
217,242.000
218,242.000
219,243.000
220,243.000
221,244.000
222,244.000
223,245.000
224,245.000
225,246.000
226,246.000
227,246.000
228,247.000
229,247.000
230,248.000
231,248.000
232,248.000
233,249.000
234,249.000
235,249.000
236,250.000
237,250.000
238,250.000
239,251.000
240,251.000
241,251.000
242,252.000
243,252.000
244,252.000
245,253.000
246,253.000
247,253.000
248,253.000
249,254.000
250,254.000
251,254.000
252,255.000
253,255.000
254,255.000
255,255.000
