level,out
0,0.000
1,1.000
2,2.000
3,3.000
4,4.000
5,6.000
6,7.000
7,8.000
8,9.000
9,10.000
10,12.000
11,13.000
12,14.000
13,15.000
14,16.000
15,17.000
16,19.000
17,20.000
18,21.000
19,22.000
20,23.000
21,24.000
22,25.000
23,27.000
24,28.000
25,29.000
26,30.000
27,31.000
28,32.000
29,33.000
30,34.000
31,35.000
32,36.000
33,37.000
34,38.000
35,39.000
36,40.000
37,41.000
38,42.000
39,43.000
40,44.000
41,45.000
42,46.000
43,47.000
44,48.000
45,49.000
46,50.000
47,51.000
48,52.000
49,53.000
50,54.000
51,55.000
52,56.000
53,57.000
54,58.000
55,59.000
56,60.000
57,61.000
58,62.000
59,63.000
60,64.000
61,65.000
62,66.000
63,67.000
64,68.000
65,69.000
66,70.000
67,71.000
68,73.000
69,74.000
70,75.000
71,76.000
72,77.000
73,78.000
74,79.000
75,80.000
76,82.000
77,83.000
78,84.000
79,85.000
80,86.000
81,87.000
82,88.000
83,90.000
84,91.000
85,92.000
86,93.000
87,94.000
88,95.000
89,96.000
90,97.000
91,98.000
92,99.000
93,100.000
94,101.000
95,102.000
96,104.000
97,105.000
98,106.000
99,107.000
100,108.000
101,109.000
102,110.000
103,111.000
104,113.000
105,114.000
106,115.000
107,116.000
108,118.000
109,119.000
110,120.000
111,121.000
112,123.000
113,124.000
114,126.000
115,127.000
116,129.000
117,130.000
118,132.000
119,133.000
120,135.000
121,136.000
122,138.000
123,139.000
124,141.000
125,142.000
126,143.000
127,145.000
128,146.000
129,148.000
130,149.000
131,151.000
132,152.000
133,153.000
134,154.000
135,156.000
136,157.000
137,158.000
138,159.000
139,161.000
140,162.000
141,163.000
142,164.000
143,165.000
144,166.000
145,167.000
146,168.000
147,169.000
148,170.000
149,171.000
150,173.000
151,174.000
152,175.000
153,176.000
154,177.000
155,178.000
156,179.000
157,180.000
158,181.000
159,182.000
160,183.000
161,184.000
162,185.000
163,186.000
164,187.000
165,188.000
166,189.000
167,190.000
168,191.000
169,192.000
170,194.000
171,195.000
172,196.000
173,197.000
174,198.000
175,199.000
176,200.000
177,201.000
178,202.000
179,203.000
180,204.000
181,205.000
182,206.000
183,207.000
184,208.000
185,209.000
186,210.000
187,211.000
188,212.000
189,213.000
190,214.000
191,215.000
192,216.000
193,217.000
194,218.000
195,219.000
196,219.000
197,220.000
198,221.000
199,222.000
200,223.000
201,224.000
202,225.000
203,225.000
204,226.000
205,227.000
206,228.000
207,228.000
208,229.000
209,230.000
210,231.000
211,231.000
212,232.000
213,233.000
214,233.000
215,234.000
216,235.000
217,235.000
218,236.000
219,237.000
220,237.000
221,238.000
222,238.000
223,239.000
224,240.000
225,240.000
226,241.000
227,241.000
228,242.000
229,242.000
230,243.000
231,244.000
232,244.000
233,245.000
234,245.000
235,246.000
236,246.000
237,247.000
238,247.000
239,248.000
240,248.000
241,249.000
242,249.000
243,250.000
244,250.000
245,251.000
246,251.000
247,251.000
248,252.000
249,252.000
250,253.000
251,253.000
252,254.000
253,254.000
254,255.000
255,255.000
